,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
554,Florian Tardieu,fr FRA,MF,Troyes,29,1992,30,29,2632,29.2,4,2,0,4,4,6,0,0.14,0.07,0.21,0.00,0.07,3.5,0.8,4.8,5.6,0.12,0.16,0.28,0.03,0.19,Matches,ed39121c
555,Oussama Targhalline,ma MAR,FW,Marseille,19,2002,2,0,5,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,abd56820
556,Loum Tchaouna,fr FRA,FWMF,Rennes,17,2003,10,0,87,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.29,0.22,0.51,0.29,0.51,Matches,a3c8b4d3
557,Warren Tchimbembé,cg CGO,MF,Metz,23,1998,9,1,205,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.16,0.16,0.00,0.16,Matches,93b8f9f4
558,Aurélien Tchouaméni,fr FRA,MF,Monaco,21,2000,35,33,2929,32.5,3,2,3,0,0,11,1,0.09,0.06,0.15,0.09,0.15,2.8,2.8,3.6,6.3,0.08,0.11,0.19,0.08,0.19,Matches,4f255115
559,Mathys Tel,fr FRA,FWMF,Rennes,16,2005,7,0,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.65,0.21,0.86,0.65,0.86,Matches,829aa60c
560,Jordan Tell,fr FRA,FW,Clermont Foot,24,1997,15,1,290,3.2,1,1,1,0,0,1,0,0.31,0.31,0.62,0.31,0.62,1.2,1.2,1.3,2.4,0.36,0.39,0.75,0.36,0.75,Matches,4f093689
561,Martin Terrier,fr FRA,FWMF,Rennes,24,1997,37,37,2779,30.9,21,3,19,2,2,1,0,0.68,0.10,0.78,0.62,0.71,15.0,14.0,5.4,19.3,0.49,0.17,0.66,0.45,0.63,Matches,5148dcc5
562,Tetê,br BRA,FWMF,Lyon,21,2000,9,7,583,6.5,2,5,2,0,0,1,0,0.31,0.77,1.08,0.31,1.08,2.4,2.4,2.7,5.1,0.37,0.42,0.78,0.37,0.78,Matches,7120a04d
563,Sada Thioub,sn SEN,FW,Angers,26,1995,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f4bc42b1
564,Sada Thioub,sn SEN,DFMF,Saint-Étienne,26,1995,17,11,950,10.6,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,1.8,2.1,0.03,0.17,0.20,0.03,0.20,Matches,f4bc42b1
565,Romain Thomas,fr FRA,DF,Angers,33,1988,30,29,2563,28.5,2,0,2,0,0,9,0,0.07,0.00,0.07,0.07,0.07,2.5,2.5,0.1,2.6,0.09,0.00,0.09,0.09,0.09,Matches,275e2c51
566,Adrien Thomasson,fr FRA,MF,Strasbourg,27,1993,31,27,2389,26.5,8,4,8,0,0,2,1,0.30,0.15,0.45,0.30,0.45,6.5,6.5,4.2,10.7,0.25,0.16,0.40,0.25,0.40,Matches,c76b7567
567,Thuler,br BRA,DF,Montpellier,22,1999,16,10,855,9.5,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches,db23d9fc
568,Khéphren Thuram-Ulie,fr FRA,MF,Nice,20,2001,36,20,1901,21.1,4,2,4,0,0,4,0,0.19,0.09,0.28,0.19,0.28,3.3,3.3,2.7,5.9,0.15,0.13,0.28,0.15,0.28,Matches,7d9397f8
569,Cheikh Tidiane Sabaly,sn SEN,FWMF,Metz,22,1999,6,2,150,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.08,0.05,0.13,0.08,0.13,Matches,9ddf7fae
570,Jean-Clair Todibo,fr FRA,DF,Nice,21,1999,36,35,3115,34.6,1,0,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,2.9,2.9,1.7,4.5,0.08,0.05,0.13,0.08,0.13,Matches,88f130ed
571,Karl Toko Ekambi,cm CMR,FW,Lyon,28,1992,30,26,2296,25.5,12,5,10,2,2,3,0,0.47,0.20,0.67,0.39,0.59,14.0,12.5,5.0,17.4,0.55,0.20,0.75,0.49,0.68,Matches,5ceba7fc
572,Yoann Touzghar,tn TUN,FW,Troyes,34,1986,28,16,1457,16.2,4,0,4,0,0,0,0,0.25,0.00,0.25,0.25,0.25,5.2,5.2,1.5,6.7,0.32,0.09,0.41,0.32,0.41,Matches,4e47507a
573,Amadou Traore,fr FRA,FW,Bordeaux,19,2002,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4eb0686f
574,Boubacar Traoré,ml MLI,MF,Metz,19,2001,27,17,1726,19.2,1,1,1,0,0,9,1,0.05,0.05,0.10,0.05,0.10,0.9,0.9,1.5,2.4,0.05,0.08,0.13,0.05,0.13,Matches,999ceb5f
575,Charles Traore,ml MLI,DF,Nantes,29,1992,16,7,718,8.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,de488e56
576,Hamari Traoré,ml MLI,DF,Rennes,29,1992,33,33,2890,32.1,3,10,3,0,0,4,0,0.09,0.31,0.40,0.09,0.40,1.9,1.9,4.7,6.7,0.06,0.15,0.21,0.06,0.21,Matches,a4b1028a
577,Ismaël Traoré,ci CIV,DF,Angers,34,1986,37,36,3215,35.7,4,1,4,0,0,1,0,0.11,0.03,0.14,0.11,0.14,4.7,4.7,1.4,6.0,0.13,0.04,0.17,0.13,0.17,Matches,b666421b
578,Miguel Trauco,pe PER,DFMF,Saint-Étienne,28,1992,17,12,1112,12.4,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.4,0.9,0.04,0.03,0.08,0.04,0.08,Matches,e4b72e34
579,Adrien Truffert,fr FRA,DF,Rennes,19,2001,30,18,1639,18.2,3,2,3,0,0,4,0,0.16,0.11,0.27,0.16,0.27,2.3,2.3,1.9,4.2,0.13,0.10,0.23,0.13,0.23,Matches,5d0e0a1f
580,Matthieu Udol,fr FRA,DF,Metz,25,1996,12,11,1007,11.2,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.4,1.0,0.05,0.04,0.09,0.05,0.09,Matches,cc41f558
581,Ike Ugbo,ca CAN,FW,Troyes,22,1998,14,11,814,9.0,5,0,4,1,1,0,0,0.55,0.00,0.55,0.44,0.44,4.2,3.5,0.5,4.0,0.47,0.06,0.53,0.38,0.44,Matches,8a53d24b
582,Chimuanya Ugochukwu,fr FRA,MF,Rennes,17,2004,18,3,405,4.5,1,0,1,0,0,2,0,0.22,0.00,0.22,0.22,0.22,0.4,0.4,0.6,1.1,0.09,0.14,0.24,0.09,0.24,Matches,1df4a109
583,Hwang Ui-jo,kr KOR,FW,Bordeaux,28,1992,32,29,2508,27.9,11,2,11,0,0,3,0,0.39,0.07,0.47,0.39,0.47,9.4,9.4,1.5,10.9,0.34,0.06,0.39,0.34,0.39,Matches,a2d873dd
584,Cengiz Ünder,tr TUR,FWMF,Marseille,24,1997,32,25,2200,24.4,10,2,9,1,1,2,1,0.41,0.08,0.49,0.37,0.45,6.8,6.0,4.6,10.6,0.28,0.19,0.47,0.25,0.43,Matches,1880614f
585,Jere Uronen,fi FIN,DF,Brest,27,1994,15,10,878,9.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches,d75f3980
586,Vanderson,br BRA,FWDF,Monaco,20,2001,17,12,1120,12.4,2,1,2,0,0,3,0,0.16,0.08,0.24,0.16,0.24,1.3,1.3,1.4,2.7,0.10,0.11,0.22,0.10,0.22,Matches,ee45fd85
587,Jonathan Varane,fr FRA,MF,Lens,19,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4ade359f
588,Marco Verratti,it ITA,MF,Paris S-G,28,1992,24,23,1937,21.5,2,2,2,0,0,12,0,0.09,0.09,0.19,0.09,0.19,0.7,0.7,3.2,3.8,0.03,0.15,0.18,0.03,0.18,Matches,1467af0d
589,Kevin Volland,de GER,MFFW,Monaco,29,1992,34,29,2436,27.1,9,9,8,1,1,10,0,0.33,0.33,0.67,0.30,0.63,8.5,7.7,7.5,15.2,0.31,0.28,0.59,0.29,0.56,Matches,64f69877
590,Timothy Weah,us USA,MFFW,Lille,21,2000,29,17,1616,18.0,3,4,3,0,0,2,1,0.17,0.22,0.39,0.17,0.39,4.4,4.4,4.1,8.5,0.24,0.23,0.47,0.24,0.47,Matches,8eec784d
591,Georginio Wijnaldum,nl NED,MF,Paris S-G,30,1990,31,18,1653,18.4,1,3,1,0,0,2,0,0.05,0.16,0.22,0.05,0.22,2.5,2.5,2.2,4.7,0.13,0.12,0.25,0.13,0.25,Matches,eb58eef0
592,Christopher Wooh,cm CMR,DF,Lens,19,2001,14,11,1050,11.7,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,1.2,1.2,0.7,1.9,0.10,0.06,0.16,0.10,0.16,Matches,b003239d
593,Xeka,pt POR,MF,Lille,26,1994,23,19,1619,18.0,3,0,3,0,0,10,0,0.17,0.00,0.17,0.17,0.17,1.7,1.7,1.8,3.4,0.09,0.10,0.19,0.09,0.19,Matches,f3600c02
594,Sekou Yansané,gn GUI,FW,Paris S-G,18,2003,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,bce37ac0
595,Yusuf Yazıcı,tr TUR,MFFW,Lille,24,1997,15,5,509,5.7,1,1,1,0,0,3,0,0.18,0.18,0.35,0.18,0.35,0.7,0.7,1.4,2.1,0.12,0.25,0.37,0.12,0.37,Matches,f5c8b425
596,Burak Yılmaz,tr TUR,FW,Lille,36,1985,31,25,2211,24.6,4,3,2,2,2,9,1,0.16,0.12,0.28,0.08,0.20,11.0,9.4,3.3,12.8,0.45,0.14,0.58,0.38,0.52,Matches,165a2e40
597,Leny Yoro,fr FRA,MF,Lille,15,2005,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6763f716
598,Zaydou Youssouf,fr FRA,MF,Saint-Étienne,22,1999,30,18,1553,17.3,1,0,1,0,0,3,1,0.06,0.00,0.06,0.06,0.06,1.0,1.0,1.2,2.1,0.06,0.07,0.12,0.06,0.12,Matches,e2f9bb5f
599,Akim Zedadka,dz ALG,DF,Clermont Foot,26,1995,38,37,3337,37.1,0,3,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,1.7,1.7,4.4,6.1,0.05,0.12,0.16,0.05,0.16,Matches,0ff630d0
600,Arber Zeneli,xk KVX,FW,Reims,26,1995,9,4,409,4.5,2,3,2,0,0,0,0,0.44,0.66,1.10,0.44,1.10,1.9,1.9,1.9,3.8,0.42,0.42,0.84,0.42,0.84,Matches,095e4199
601,Mehdi Zerkane,dz ALG,MFDF,Bordeaux,22,1999,6,0,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.04,0.06,0.10,0.04,0.10,Matches,53f6306f
602,Edon Zhegrova,xk KVX,MFFW,Lille,22,1999,13,5,481,5.3,2,1,2,0,0,2,1,0.37,0.19,0.56,0.37,0.56,0.7,0.7,0.7,1.4,0.13,0.14,0.27,0.13,0.27,Matches,34a88e3e
603,Banhie Zoukrou,fr FRA,DF,Troyes,18,2003,4,0,77,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches,aefa3050
